COUNTRY,0
"Andorra, Principality of",0.8
"Aruba, Kingdom of the Netherlands",0.6
"Fiji, Republic of",0.6
Iraq,0.6
Kiribati,0.4
Kuwait,0.4
Lao People's Democratic Republic,0.4
Liberia,0.4
Libya,0.4
"Liechtenstein, Principality of",0.8
"Macao Special Administrative Region, People's Republic of China",0.8
"Marshall Islands, Republic of the",0.6
"Micronesia, Federated States of",0.8
"Nauru, Republic of",0.8
Nepal,0.4
Papua New Guinea,0.4
Puerto Rico,0.6
Samoa,0.8
"San Marino, Republic of",0.6
Somalia,1.0
"South Sudan, Republic of",0.4
"Timor-Leste, Democratic Republic of",0.6
Tonga,0.4
Turkmenistan,0.4
Tuvalu,0.8
Vanuatu,0.6
Zimbabwe,0.8
